station_id,latitude,longitude
3011,39.959492,-75.196899
3013,39.963169,-75.147919
3027,39.956940,-75.200691
3036,39.968441,-75.140007
3042,39.949421,-75.166130
3095,39.987709,-75.180519
3103,39.977139,-75.179398
3105,39.966518,-75.129959
3108,39.953159,-75.165512
3121,39.974140,-75.180222
3129,39.946812,-75.193108
3167,39.950249,-75.160278
3186,39.893070,-75.171677
3192,39.962070,-75.141113
3195,39.954102,-75.169647
3202,39.95134,-75.16758
3206,39.95174,-75.170631
